Objective ID,Hierarchy reference,Objective level,Strategic objective,Parent objective,Value effect,Executive sponsor,Accountable executive(s),Metric,Target,Horizon,Status
VAL-00,0,Overall objective,Maximize shareholder value in Trident,,EBITDA; Multiple; Cash/NIBD,CEO,Executive Management,Equity value,Long-term value creation plan,2035,Active
PIL-01,2.1,Trident value pillar,Grow organic EBITDA through rate uplift and improved existing-fleet performance,AIP-01,Organic EBITDA; Cash/NIBD,CEO,Chief Strategy & Business Developer; CCO; COO,"Like-for-like EBITDA, achieved rate uplift, utilization and off-hire",Long-term value creation plan,2035,Active
PIL-02,2.2,Trident value pillar,Grow investment EBITDA through value-accretive risk-adjusted returns,AIP-01,Investment EBITDA; Cash/NIBD,CEO,Chief Strategy & Business Developer,"Incremental EBITDA, EBITDA yield, IRR and value creation",Approved investment thresholds,2035,Active
PIL-03,2.3,Trident value pillar,"Expand the valuation multiple through earnings visibility, contract quality and fleet quality",AIP-02,Multiple,CEO,Chief Strategy & Business Developer,"Contracted EBITDA, contract duration, earnings volatility and fleet quality",Long-term value creation plan,2035,Active
OBJ-01,,Supporting objective,Deliver planned revenue and EBITDA development,PIL-01,Organic EBITDA; Cash/NIBD,CEO,COO and CCO,"Revenue, EBITDA and cash conversion",Budget and long-term plan,2035,Active
OBJ-02,,Supporting objective,Improve fleet utilization and commercial returns,PIL-01; PIL-03,Organic EBITDA; Multiple; Cash/NIBD,CEO,COO and CCO,"Utilization, off-hire, TC rate and vessel EBITDA",Budget and long-term plan,2035,Active
OBJ-03,,Supporting objective,Allocate capital to the highest risk-adjusted returns,PIL-02; PIL-05,Investment EBITDA; Capital allocation; Cash/NIBD,CEO,Chief Strategy & Business Developer and CFO,"IRR, EBITDA yield, leverage and payback",Investment criteria,2035,Active
OBJ-04,,Supporting objective,Integrate and standardize the combined group,PIL-03,Multiple,CEO,Executive Management,"Synergies, process coverage and execution milestones",Integration plan,2035,Active
OBJ-05,,Supporting objective,Develop profitable new growth platforms and services,PIL-02,Investment EBITDA; Multiple,CEO,Chief Strategy & Business Developer,"Pipeline value, IRR and incremental EBITDA",Strategic plan,2035,Active
OBJ-06,,Supporting objective,"Maintain financing capacity, covenant headroom and exit readiness",PIL-03; PIL-04; PIL-05,Multiple; Cash conversion; Cash/NIBD,CEO,CFO and Chief Strategy & Business Developer,"NIBD/EBITDA, liquidity, covenant headroom and readiness",Financing and exit plan,2035,Active
AIP-01,1.1,AIP value lever,EBITDA,VAL-00,EBITDA,CEO,Executive Management,Sustainable EBITDA,Long-term value creation plan,2035,Active
AIP-02,1.2,AIP value lever,Multiple,VAL-00,Multiple,CEO,Executive Management,EV/EBITDA multiple,Long-term value creation plan,2035,Active
AIP-03,1.3,AIP value lever,Cash,VAL-00,Cash/NIBD,CEO,Executive Management,Free cash flow and NIBD,Long-term value creation plan,2035,Active
PIL-04,2.4,Trident value pillar,Maximize conversion of EBITDA into free cash flow,AIP-03,Cash conversion; Cash/NIBD,CEO,CFO; COO,Operating cash flow after maintenance capex / EBITDA,Budget and long-term cash flow plan,2035,Active
PIL-05,2.5,Trident value pillar,Optimize capital allocation and the balance sheet to maximize equity value,AIP-03,Capital allocation; Cash/NIBD,CEO,CFO; Chief Strategy & Business Developer,"ROIC, NIBD/EBITDA, liquidity and equity value created per NOK deployed",Capital allocation and financing plan,2035,Active
OBJ-07,3.3.5,Supporting objective,"Maintain and develop a high-quality, commercially relevant fleet while protecting residual value",PIL-03; PIL-05,Multiple; Capital allocation; Cash/NIBD,CEO,Chief HSEQ; COO; Chief Strategy & Business Developer,"Fleet quality, economic life, off-hire, maintenance backlog and residual value",Fleet quality and portfolio plan,2035,Active
