Process ID,Process,Process owner,Purpose,Trigger / inputs,Main activities,Outputs,Interfaces,Review frequency,S&BD Manual section,Linked Level 3 drivers
SBD-P01,Long-term strategic planning,Trond V. Thomson,To be defined,To be defined,To be defined,To be defined,To be defined,Quarterly,4.2,3.1.1; 3.1.2; 3.1.3; 3.1.4; 3.1.5; 3.2.1; 3.2.2; 3.2.3; 3.2.4; 3.2.5; 3.3.1; 3.3.2; 3.3.3; 3.3.4; 3.3.5; 3.3.6; 3.3.7; 3.3.8; 3.4.1; 3.4.2; 3.4.3; 3.4.4; 3.4.5; 3.4.6; 3.5.1; 3.5.2; 3.5.3; 3.5.4; 3.5.5; 3.5.6; 3.5.7
SBD-P02,Market intelligence interpretation,Trond V. Thomson,To be defined,To be defined,To be defined,To be defined,To be defined,Quarterly,4.3,3.1.1; 3.1.2; 3.2.3; 3.2.5; 3.3.2; 3.3.3; 3.3.4
SBD-P03,Opportunity identification and evaluation,Trond V. Thomson,To be defined,To be defined,To be defined,To be defined,To be defined,Quarterly,4.4,3.1.1; 3.2.1; 3.2.2; 3.2.3; 3.2.4; 3.2.5; 3.3.3; 3.5.1; 3.5.2; 3.5.3
SBD-P04,Business case development,Trond V. Thomson,To be defined,To be defined,To be defined,To be defined,To be defined,Quarterly,4.5,3.2.1; 3.2.2; 3.2.3; 3.2.4; 3.2.5; 3.3.4; 3.3.5; 3.3.6; 3.4.1; 3.5.1; 3.5.2; 3.5.3
SBD-P05,Long-term operating agenda and rate uplift,Trond V. Thomson,To be defined,To be defined,To be defined,To be defined,To be defined,Quarterly,4.6,3.1.1; 3.1.2; 3.1.3; 3.1.4; 3.1.5; 3.3.1; 3.3.2; 3.3.3; 3.3.4; 3.4.1; 3.4.2; 3.4.3; 3.4.4
SBD-P06,Fleet portfolio optimization and divestment,Trond V. Thomson,To be defined,To be defined,To be defined,To be defined,To be defined,Quarterly,4.7,3.1.2; 3.1.4; 3.2.2; 3.2.3; 3.3.5; 3.3.6; 3.4.2; 3.5.4
SBD-P07,Capital project governance,Trond V. Thomson,To be defined,To be defined,To be defined,To be defined,To be defined,Quarterly,4.8,3.2.1; 3.2.2; 3.2.3; 3.4.1; 3.5.1; 3.5.2; 3.5.3; 3.5.5; 3.5.6; 3.5.7
SBD-P08,M&A and strategic partnerships,Trond V. Thomson,To be defined,To be defined,To be defined,To be defined,To be defined,Quarterly,4.9,3.2.3; 3.2.4; 3.2.5; 3.3.1; 3.3.3; 3.3.8; 3.5.1; 3.5.2; 3.5.3; 3.5.5
SBD-P09,Strategic risk integration,Trond V. Thomson,To be defined,To be defined,To be defined,To be defined,To be defined,Quarterly,4.10,3.1.1; 3.1.2; 3.1.3; 3.1.4; 3.1.5; 3.2.1; 3.2.2; 3.2.3; 3.2.4; 3.2.5; 3.3.1; 3.3.2; 3.3.3; 3.3.4; 3.3.5; 3.3.6; 3.3.7; 3.3.8; 3.4.1; 3.4.2; 3.4.3; 3.4.4; 3.4.5; 3.4.6; 3.5.1; 3.5.2; 3.5.3; 3.5.4; 3.5.5; 3.5.6; 3.5.7
SBD-P10,Sustainability strategy integration,Trond V. Thomson,To be defined,To be defined,To be defined,To be defined,To be defined,Quarterly,4.11,3.1.4; 3.2.1; 3.2.2; 3.2.5; 3.3.3; 3.3.5; 3.3.7; 3.5.1; 3.5.2
SBD-P11,Sustainability Statement and CSRD,Trond V. Thomson,To be defined,To be defined,To be defined,To be defined,To be defined,Quarterly,4.12,3.3.1; 3.3.3; 3.3.7; 3.5.6; 3.5.7
SBD-P12,Strategy execution and monitoring,Trond V. Thomson,To be defined,To be defined,To be defined,To be defined,To be defined,Quarterly,4.13,3.1.1; 3.1.2; 3.1.3; 3.1.4; 3.1.5; 3.2.1; 3.2.2; 3.2.3; 3.2.4; 3.2.5; 3.3.1; 3.3.2; 3.3.3; 3.3.4; 3.3.5; 3.3.6; 3.3.7; 3.3.8; 3.4.1; 3.4.2; 3.4.3; 3.4.4; 3.4.5; 3.4.6; 3.5.1; 3.5.2; 3.5.3; 3.5.4; 3.5.5; 3.5.6; 3.5.7
SBD-P13,Value realization and strategic portfolio review,Trond V. Thomson,To be defined,To be defined,To be defined,To be defined,To be defined,Quarterly,4.14,3.1.1; 3.1.2; 3.1.3; 3.1.4; 3.1.5; 3.2.1; 3.2.2; 3.2.3; 3.2.4; 3.2.5; 3.3.1; 3.3.2; 3.3.3; 3.3.4; 3.3.5; 3.3.6; 3.3.7; 3.3.8; 3.4.1; 3.4.2; 3.4.3; 3.4.4; 3.4.5; 3.4.6; 3.5.1; 3.5.2; 3.5.3; 3.5.4; 3.5.5; 3.5.6; 3.5.7
