Risk ID,Department,Role,Mitigation contribution %,Mitigation focus,Notes
SBD-R001,Strategy & Business Development,Primary owner,55,Lead mitigation design and follow-up,Seeded from Strategy inventory - validate
SBD-R001,Finance,Contributor,15,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R001,Commercial,Contributor,15,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R001,Vessel Operations,Contributor,15,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R002,Strategy & Business Development,Primary owner,45,Lead mitigation design and follow-up,Seeded from Strategy inventory - validate
SBD-R002,Finance,Contributor,5,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R002,Commercial,Contributor,5,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R002,Vessel Operations,Contributor,5,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R002,Technical & HSEQ,Contributor,5,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R002,Crewing,Contributor,5,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R002,Onshore Employees & Organization,Contributor,5,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R002,Administration,Contributor,5,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R002,ICT,Contributor,5,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R002,Legal & Compliance,Contributor,5,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R002,Chile Operations,Contributor,5,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R002,Shetland Operations,Contributor,5,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R003,Strategy & Business Development,Primary owner,56,Lead mitigation design and follow-up,Seeded from Strategy inventory - validate
SBD-R003,Finance,Contributor,11,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R003,Commercial,Contributor,11,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R003,Technical & HSEQ,Contributor,11,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R003,Vessel Operations,Contributor,11,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R004,Strategy & Business Development,Primary owner,56,Lead mitigation design and follow-up,Seeded from Strategy inventory - validate
SBD-R004,Finance,Contributor,11,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R004,Commercial,Contributor,11,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R004,ICT,Contributor,11,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R004,Vessel Operations,Contributor,11,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R005,Strategy & Business Development,Primary owner,45,Lead mitigation design and follow-up,Seeded from Strategy inventory - validate
SBD-R005,Finance,Contributor,5,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R005,Commercial,Contributor,5,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R005,Vessel Operations,Contributor,5,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R005,Technical & HSEQ,Contributor,5,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R005,Crewing,Contributor,5,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R005,Onshore Employees & Organization,Contributor,5,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R005,Administration,Contributor,5,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R005,ICT,Contributor,5,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R005,Legal & Compliance,Contributor,5,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R005,Chile Operations,Contributor,5,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R005,Shetland Operations,Contributor,5,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R101,Strategy & Business Development,Primary owner,55,Lead mitigation design and follow-up,Seeded from Strategy inventory - validate
SBD-R101,Commercial,Contributor,45,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R102,Strategy & Business Development,Primary owner,56,Lead mitigation design and follow-up,Seeded from Strategy inventory - validate
SBD-R102,Commercial,Contributor,22,Contribute controls/actions in this unit,Seeded from Affected units - validate
SBD-R102,Vessel Operations,Contributor,22,Contribute controls/actions in this unit,Seeded from Affected units - validate
