Risk ID,Category,Risk title,Objectives,Value pillars,Value effects,Level 3 drivers,Processes,Cause,Risk event,Consequences,Accountable executive,Risk owner,Affected units,Time horizon,Velocity,Inherent likelihood,Inherent impact,Residual likelihood,Residual impact,Target likelihood,Target impact,Appetite status,Trend,Status,Enterprise escalation,Treatment decision,Current mitigation,Evidence / rationale
SBD-R001,Fleet & capacity,Investment in fleet capacity that does not match future demand,OBJ-02; OBJ-03,PIL-01; PIL-02; PIL-03; PIL-05,Organic EBITDA; Investment EBITDA; Multiple; Cash/NIBD,3.2.1; 3.1.2; 3.5.1,SBD-P02; SBD-P04; SBD-P06; SBD-P07,"Uncertain forecasts of salmon production, customer demand and competitor capacity",Trident commits capital to vessel segments or geographies with insufficient demand,"Low utilization, reduced returns and constrained financial flexibility",Trond V. Thomson,,Finance; Commercial; Vessel Operations,1–3 years,Medium,4,5,3,4,2,3,Outside appetite,Increasing,Treatment in progress,Yes,,,Illustrative – validate
SBD-R002,Strategy execution,Strategic initiatives fail to translate into accountable execution,OBJ-01; OBJ-04,PIL-01; PIL-03; PIL-04,Organic EBITDA; Multiple; Cash conversion,3.3.8; 3.3.7,SBD-P01; SBD-P12,"Insufficient ownership, capacity, milestones or cross-functional alignment",Material strategic initiatives are delayed or incompletely implemented,"Growth, integration and value-creation targets are not achieved",Trond V. Thomson,,All units,0–12 months,Medium,4,4,3,3,2,2,Approaching appetite,Stable,Treatment in progress,Yes,,,Illustrative – validate
SBD-R003,New business models,SFaaS expansion creates exposures outside established capabilities,OBJ-03; OBJ-05,PIL-02; PIL-03; PIL-05,Investment EBITDA; Multiple; Cash/NIBD,3.2.5; 3.2.4; 3.3.8,SBD-P03; SBD-P04; SBD-P07; SBD-P08,Expansion from vessel services into aquaculture infrastructure,"The operating model, technology or commercial structure performs below plan","Capital loss, operational liabilities and reputational harm",Trond V. Thomson,,Finance; Commercial; Technical & HSEQ; Vessel Operations,>3 years,Slow,3,5,3,4,2,3,Approaching appetite,Stable,Monitoring,Yes,,,Illustrative – validate
SBD-R004,Data & assumptions,Strategic decisions rely on incomplete or unreliable information,OBJ-01; OBJ-02; OBJ-03,PIL-01; PIL-02; PIL-03; PIL-04; PIL-05,Organic EBITDA; Investment EBITDA; Multiple; Cash conversion; Cash/NIBD,3.3.7; 3.3.1,SBD-P01; SBD-P02; SBD-P04,Group data and external intelligence are fragmented or inconsistent,Management bases decisions on assumptions that are not sufficiently tested,Misallocation of capital and delayed corrective decisions,Trond V. Thomson,,Finance; Commercial; ICT; Vessel Operations,0–12 months,Fast,4,4,3,3,2,2,Approaching appetite,Stable,Open,No,,,Illustrative – validate
SBD-R005,M&A & integration,Acquisitions fail to deliver expected synergies,OBJ-01; OBJ-04,PIL-02; PIL-03; PIL-04; PIL-05,Investment EBITDA; Multiple; Cash conversion; Cash/NIBD,3.2.4; 3.3.8; 3.5.1,SBD-P08; SBD-P12,"Due diligence, integration planning or ownership of synergies is insufficient",An acquired business is not integrated effectively,"Synergies are delayed, costs increase and group governance remains fragmented",Trond V. Thomson,,All units,1–3 years,Medium,4,4,3,4,2,3,Outside appetite,Stable,Treatment in progress,Yes,,,Illustrative – validate
SBD-R101,Market development,Contract renewals fail to deliver planned rate uplift,OBJ-01; OBJ-02,PIL-01,Organic EBITDA; Cash/NIBD,3.1.1; 3.1.3,SBD-P02; SBD-P05; SBD-P12,"OUTCOME DRIVERS (market): tender pressure, soft utilization, customer resistance to re-pricing toward newbuild parity. TRIDENT-SIDE FAILURE MODES (actionable): (1) renewal calendar without per-contract rate/terms mandate; (2) weak comps / newbuild-parity pack for negotiators; (3) no BATNA (redeploy/idle/other region) so we accept soft rates; (4) late escalation when renewal forecast slips vs uplift plan; (5) incentives biased to volume over rate quality; (6) indexation and term playbook not applied in negotiation.",Material renewals close at rates below the organic rate-uplift plan.,Like-for-like EBITDA and cash generation undershoot the value-creation plan.,Trond V. Thomson,,Commercial; Strategy & BD,0–12 months,Medium,4,4,3,3,2,2,Approaching appetite,Stable,Treatment in progress,Yes,Treat,"S&BD+Commercial: (1) 12–24 month renewal calendar with target TC rate, indexation, and duration per contract; (2) pre-negotiation brief (comps, customer alternatives, BATNA) signed before talks open; (3) formal rate/terms mandate from CCO/S&BD; (4) monthly renewal gap vs plan with escalation if below corridor; (5) deal review gate before signing below corridor; (6) link SBD-P05 operating agenda to each material renewal.",Operationalized for S&BD: outcome risk broken into Trident controllable failure modes and mitigations — validate with Commercial.
SBD-R102,Fleet & capacity,Segment orderbook dilutes utilization of the existing fleet,OBJ-01; OBJ-02,PIL-01; PIL-03,Organic EBITDA; Multiple,3.1.2; 3.3.4,SBD-P02; SBD-P05; SBD-P06,Industry deliveries temporarily exceed demand intensity in premium service or adjacent segments.,Paid utilization and off-hire performance on existing vessels deteriorate below plan.,"Organic EBITDA, contract quality optics, and near-term cash conversion weaken.",Trond V. Thomson,,Commercial; Vessel Operations; Strategy & BD,1–3 years,Medium,4,4,3,3,2,2,Approaching appetite,Increasing,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R103,Competitive position,"Commercial terms erode (indexation, pass-through, duration)",OBJ-01; OBJ-02,PIL-01; PIL-03,Organic EBITDA; Multiple,3.1.3; 3.3.2,SBD-P05; SBD-P02,"Customers push back on CPI indexation, fuel pass-through, or multi-year tenure in renewals and new awards.",New and renewed contracts carry weaker economic protections than the operating agenda assumes.,Margin compression and higher earnings volatility reduce organic EBITDA quality.,Trond V. Thomson,,Commercial; Strategy & BD,1–3 years,Medium,3,4,3,3,2,2,Approaching appetite,Stable,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R104,Geographic expansion,Fleet redeployment misses higher-return regional demand,OBJ-01; OBJ-02,PIL-01,Organic EBITDA; Cash/NIBD,3.1.2; 3.1.1,SBD-P02; SBD-P05; SBD-P06,"OUTCOME DRIVERS: regional willingness-to-pay and demand differ; tonnage can remain in lower-return regions while another region (e.g. Chile) is short. TRIDENT-SIDE FAILURE MODES (redeployment is NOT liquid): (1) market intel not turned into a timed portfolio case (demand evidence, vessel fit, constraints); (2) treating inter-region moves as a simple shuffle — ignoring reconstruction, yard slot, transit, flag/class/biosecurity, and commercial exit costs; (3) no ranked options with full economics (move / wait / serve another way); (4) slow decision rights between S&BD, Commercial, and Ops so the Chile window closes; (5) contract/exit constraints in the weak region not mapped early; (6) no trigger when regional EBITDA or rate-utilization spread vs plan exceeds threshold — so no case is opened; (7) Chile (or destination) cannibalisation ignored: stronger incoming vessel can idle or reprice less competitive tonnage already in region.",Vessels remain under-monetized relative to achievable regional rate and utilization differentials.,Organic EBITDA growth lags peers and the platform's global flexibility advantage is underused.,Trond V. Thomson,,Commercial; Strategy & BD; Vessel Operations,1–3 years,Medium,3,3,2,3,2,2,Within appetite,Stable,Treatment in progress,No,Treat,"S&BD-led portfolio case (not a liquid move): (1) quarterly regional rate/utilization/EBITDA heat map vs P05 plan; (2) when spread vs plan breaches agreed threshold, open a redeployment case with owner and decision deadline (do not auto-move); (3) ranked shortlist with vessel fit PLUS reconstruction scope/cost/time, transit and regulatory path, and exit/novation costs in the weak region; (4) destination impact pack: expected cannibalisation on existing Chile (or other) vessels — utilisation, rate, residual value; (5) decision forum S&BD-Commercial-Ops: approve move / wait / alternative only if net fleet EBITDA after transaction costs and cannibalisation clears the hurdle (SBD-P02/P05/P06); (6) document rejected moves so the threshold does not keep reopening the same weak case.","Operationalized: focus on decision speed and intel-to-action, not only market geography — validate."
SBD-R105,Market development,Underlying salmon supply growth undershoots consensus,OBJ-01; OBJ-02,PIL-01; PIL-02,Organic EBITDA; Investment EBITDA,3.1.2; 3.2.1,SBD-P02; SBD-P01; SBD-P09,"Regulatory caps, biological setbacks, or slower farmer efficiency reduce sea-based production growth below planned intensity.",Vessel-service demand growth slows across core regions and segments.,"Utilization and rate momentum soften, pressuring organic EBITDA and delaying investment cases.",Trond V. Thomson,,Strategy & BD; Commercial,1–3 years,Slow,3,5,3,4,2,3,Approaching appetite,Stable,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R106,Organizational capacity,Crewing and operating-cost inflation outpaces rate growth,OBJ-01,PIL-01,Organic EBITDA; Cash/NIBD,3.1.5; 3.1.4; 3.1.1,SBD-P05; SBD-P12,OUTCOME DRIVERS: wage/opex inflation vs renewal revenue. TRIDENT-SIDE FAILURE MODES: (1) rate mandates ignore cost inflation outlook; (2) no joint rate-vs-cost bridge in renewals; (3) CPI/pass-through terms not pushed when cost outlook is hot; (4) S&BD does not force Commercial+Crewing+Ops cost view into pricing; (5) lag between cost signals and renewal instructions.,Contribution margins on the existing fleet compress despite stable utilization.,Organic EBITDA and cash conversion fall short of budget even when commercial volumes hold.,Trond V. Thomson,,Vessel Operations; Crewing; Commercial; Finance,0–12 months,Medium,4,3,3,3,2,2,Approaching appetite,Increasing,Treatment in progress,No,Treat,"S&BD coordinates: (1) quarterly cost-inflation outlook from Crewing/Ops/Finance into pricing corridor; (2) renewal mandates include minimum indexation/pass-through when cost outlook exceeds X%; (3) rate-vs-cost bridge required in pre-negotiation brief; (4) reject/escalate renewals that lock flat rates into a rising-cost window; (5) track margin after crewing/opex, not only headline TC (SBD-P05/P12).",Operationalized: S&BD lever is pricing/terms discipline fed by cost intel — Ops/Crewing own cost delivery.
SBD-R107,Fleet & capacity,Newbuild economics miss approved yield and IRR thresholds,OBJ-03; OBJ-05,PIL-02; PIL-05,Investment EBITDA; Capital allocation; Cash/NIBD,3.2.1; 3.5.2,SBD-P03; SBD-P04; SBD-P07,"Yard CAPEX inflation, specification creep, delayed delivery, or weaker charter terms than underwritten.",Delivered newbuilds generate EBITDA yields or IRRs below Board-approved investment criteria.,Investment EBITDA growth destroys rather than creates equity value and ties up scarce capital.,Trond V. Thomson,,Strategy & BD; Finance; Technical & HSEQ,1–3 years,Medium,4,5,3,4,2,3,Outside appetite,Stable,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R108,Fleet & capacity,Yard capacity and delivery risk delays growth CAPEX realization,OBJ-03; OBJ-05,PIL-02,Investment EBITDA; Cash/NIBD,3.2.1; 3.2.2,SBD-P07; SBD-P04,"Limited global yard slots, equipment lead times, or supplier bottlenecks for specialized aquaculture vessels.",Newbuild or reconstruction projects slip versus commercial start-up assumptions.,"Incremental EBITDA is deferred, opportunity windows are missed, and carrying costs rise.",Trond V. Thomson,,Strategy & BD; Technical & HSEQ; Finance,1–3 years,Medium,3,4,3,3,2,2,Approaching appetite,Stable,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R109,Capital allocation,Second-hand vessel or reconstruction investments are mispriced,OBJ-03,PIL-02; PIL-05,Investment EBITDA; Capital allocation; Cash/NIBD,3.2.2; 3.2.3; 3.5.2,SBD-P03; SBD-P04; SBD-P06; SBD-P07,"Incomplete technical diligence, optimistic residual-value or upgrade-cost assumptions, or competitive auction dynamics.",Acquired or reconstructed assets underperform risk-adjusted return hurdles after integration.,Capital is locked in suboptimal assets and portfolio ROIC deteriorates.,Trond V. Thomson,,Strategy & BD; Technical & HSEQ; Finance,1–3 years,Medium,3,4,3,3,2,2,Approaching appetite,Stable,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R110,M&A & integration,Platform M&A overpays or fails to capture identifiable synergies,OBJ-03; OBJ-04; OBJ-05,PIL-02; PIL-05; PIL-03,Investment EBITDA; Capital allocation; Multiple,3.2.4; 3.5.1; 3.3.8,SBD-P08; SBD-P04; SBD-P12,"Aggressive bidding, weak diligence on commercial quality, or unclear synergy ownership post-close.","Acquired EBITDA arrives late, diluted, or below the investment case after integration costs.",Investment returns miss hurdles and governance/scalability benefits expected from scale are delayed.,Trond V. Thomson,,Strategy & BD; Finance; All units,1–3 years,Medium,4,5,3,4,2,3,Outside appetite,Stable,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R111,Geographic expansion,Norway share build fails despite claimed right-to-play,OBJ-05; OBJ-02,PIL-02; PIL-01,Investment EBITDA; Organic EBITDA,3.2.3; 3.1.2; 3.2.1,SBD-P02; SBD-P03; SBD-P05; SBD-P08,"Incumbent relationships, tender criteria, local presence gaps, or premium-price perception limit awards in Norway.","Wellboat, harvest, or premium-service growth in Norway materially undershoots the strategic plan.",Investment EBITDA and platform diversification benefits from the largest market are deferred.,Trond V. Thomson,,Strategy & BD; Commercial,1–3 years,Medium,4,4,3,3,2,2,Approaching appetite,Increasing,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R112,New business models,"New growth platforms (e.g., SFaaS) underperform or divert focus",OBJ-05; OBJ-03,PIL-02; PIL-03; PIL-05,Investment EBITDA; Multiple; Cash/NIBD,3.2.5; 3.2.4,SBD-P03; SBD-P04; SBD-P07; SBD-P08,Expansion beyond core vessel services into aquaculture infrastructure or adjacent models without proven operating capability.,"New platforms miss commercial, technical, or capital-return milestones while consuming management attention.","Capital loss, reputational risk, and slower delivery of core investment EBITDA ensue.",Trond V. Thomson,,Strategy & BD; Finance; Technical & HSEQ,>3 years,Slow,3,5,3,4,2,3,Approaching appetite,Stable,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R113,Data & assumptions,Segment mix bets misread demand intensity by vessel type,OBJ-03; OBJ-05,PIL-02; PIL-01,Investment EBITDA; Organic EBITDA,3.2.1; 3.1.2; 3.2.3,SBD-P02; SBD-P03; SBD-P04,"Overweighting wellboat, premium service, harvest, or feed-carrier growth relative to region-specific adoption and biology drivers.",Capital is committed to the wrong segment relative to realized demand and competitor capacity.,Investment EBITDA yields disappoint and existing-fleet utilization in overbuilt segments softens.,Trond V. Thomson,,Strategy & BD; Commercial; Finance,1–3 years,Medium,3,4,3,3,2,2,Approaching appetite,Stable,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R114,Customer concentration,Earnings visibility weakened by lower long-term TC coverage,OBJ-02; OBJ-06,PIL-03,Multiple,3.3.1; 3.3.2; 3.3.4,SBD-P05; SBD-P02; SBD-P13,"Contract expiries cluster, renewals shorten, or more vessels shift toward spot or shorter tenors.",Contracted EBITDA share and average remaining contract duration fall materially.,Valuation multiple compresses due to perceived earnings unpredictability at exit.,Trond V. Thomson,,Commercial; Strategy & BD; Finance,1–3 years,Medium,3,5,3,4,2,3,Outside appetite,Stable,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R115,Customer concentration,Counterparty or top-customer concentration crystallizes,OBJ-01; OBJ-06,PIL-03,Multiple,3.3.3; 3.3.1; 3.3.4,SBD-P05; SBD-P09; SBD-P02,Heavy exposure to a small set of large farmers or regional counterparties without adequate diversification offsets.,"Loss, renegotiation, or distress at a major customer removes a disproportionate share of contracted EBITDA.","Earnings visibility, cash collection, and exit multiple quality deteriorate sharply.",Trond V. Thomson,,Commercial; Strategy & BD; Finance,0–12 months,Fast,3,5,2,4,2,3,Approaching appetite,Stable,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R116,Fleet & capacity,Fleet obsolescence erodes residual value and commercial relevance,OBJ-07; OBJ-02,PIL-03; PIL-05,Multiple; Capital allocation; Cash/NIBD,3.3.5; 3.3.6; 3.5.4,SBD-P06; SBD-P10; SBD-P13,"Technology, size, and fish-handling standards advance faster than the modernization and divestment program.",Older or non-gentle vessels become commercially unattractive and residual values fall.,Multiple support from fleet quality weakens and disposal proceeds undershoot plan.,Trond V. Thomson,,Technical & HSEQ; Strategy & BD; Vessel Operations,1–3 years,Slow,3,4,3,3,2,2,Approaching appetite,Stable,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
